#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
CM021799.1	1	204625131	53532904	199024066	97.2628	33.0135	35.8	56
JAACYN010012523.1	1	1328	3543	1328	100	352.243	36.1	59.9
JAACYN010012717.1	1	14360	6343	14360	100	54.305	35.6	57.6
MU018150.1	1	55961	14325	55570	99.3013	32.3488	35.8	56.9
JAACYN010013916.1	1	1026	287	1026	100	35.5575	35.8	60
JAACYN010013960.1	1	3861	771	3861	100	25.5804	36	58.3
JAACYN010014065.1	1	1077	1570	1077	100	97.7976	34.2	7.1
JAACYN010014072.1	1	1528	302	1520	99.4764	23.9601	36	59
JAACYN010014091.1	1	1222	1467	1222	100	121.984	33.7	22.2
JAACYN010014095.1	1	1434	262	1434	100	24.182	34.6	38.5
JAACYN010014112.1	1	2514	291	2514	100	13.6432	35.7	57.8
JAACYN010014141.1	1	1612	1496	1612	100	58.0062	32.3	35.5
JAACYN010014151.1	1	1450	1214	1450	100	99.8945	33.5	14.8
JAACYN010014163.1	1	5423	1175	5423	100	23.1317	35.8	47.2
JAACYN010014191.1	1	2948	403	2948	100	18.055	36.1	57.6
JAACYN010014287.1	1	2964	668	2964	100	26.6943	35.8	57.4
JAACYN010014305.1	1	1599	1108	1599	100	87.5416	36.1	57.7
JAACYN010014381.1	1	5569	1177	5551	99.6768	27.3112	35.7	59.4
JAACYN010014382.1	1	1606	229	1587	98.8169	17.5386	35.9	45.6
JAACYN010014568.1	1	7238	1006	7238	100	17.894	35.9	21.9
JAACYN010014652.1	1	1851	227	1851	100	15.7293	36.2	56.9
JAACYN010014659.1	1	1452	319	1452	100	25.4869	35.4	50.5
JAACYN010014757.1	1	1856	369	1856	100	25.452	35.5	48.9
JAACYN010014790.1	1	6666	1195	6644	99.67	23.15	36	23.2
JAACYN010014796.1	1	2253	470	2244	99.6005	26.186	35.9	26.5
JAACYN010014883.1	1	3151	683	3151	100	28.4446	36	59.6
JAACYN010014919.1	1	2383	401	2383	100	20.6584	36.1	42.9
JAACYN010014920.1	1	3328	687	3325	99.9099	22.8287	36.1	38.1
JAACYN010014926.1	1	4681	1037	4681	100	28.6623	36.1	59.6
JAACYN010014968.1	1	1737	211	1737	100	15.9775	36.1	49.4
JAACYN010015000.1	1	2199	336	2198	99.9545	19.0182	36.1	41.3
JAACYN010015035.1	1	4728	1169	4728	100	31.7566	35.9	58.7
JAACYN010015161.1	1	6385	1931	6385	100	38.7652	36	53.6
JAACYN010015374.1	1	2112	1053	2112	100	61.8215	36	38.1
JAACYN010015389.1	1	5493	1221	5493	100	28.7752	35.9	50.4
MU018151.1	1	1836	603	1737	94.6078	26.1656	33.2	38.2
